Name,Mobile,Email,Source,Location,Interested Product,Lead Value,Created By,Assigned To,Status,Priority,Created At
Saira Vora,916272849424,dishanibera@hotmail.com,Referral,Mumbai,ERP System,62348,Team Lead,Sales3,unavailable,hot,2025-09-03
Indrans Grover,918921794983,ramsamarth@andra-bhalla.com,LinkedIn,Kochi,ERP System,99419,Johnson Joseph,Sales3,new,warm,2025-10-30
Nakul Balakrishnan,917867302554,basaksana@tandon-banerjee.net,Instagram,Mumbai,Web Design,95646,Johnson Joseph,Sales5,contacted,cold,2025-10-19
Gokul Sahni,919919706735,preraklalla@hotmail.com,Facebook,Hyderabad,Mobile App,84748,Team Lead,Sales5,contacted,hot,2025-09-16
Hrishita Shroff,917605947756,yakshit57@kara.com,Instagram,Delhi,ERP System,1074,Team Lead,Sales3,closed,hot,2025-08-12
Akarsh Raja,916480468219,aarushbanik@raval.com,Google Ads,Bangalore,CRM,8592,Nygil Binoy,Sales5,new,hot,2025-11-01
Shalv Banik,919143519183,oorja73@bhatti.org,Referral,Kochi,ERP System,17483,Nygil Binoy,Sales4,unavailable,hot,2025-09-30
Nirvaan Srinivasan,917138409539,gchandran@gmail.com,Naukri,Delhi,Digital Marketing,28760,Team Lead,Sales2,converted,warm,2025-10-08
Sumer Kakar,918884873529,uvenkatesh@gmail.com,LinkedIn,Bangalore,Digital Marketing,68839,Appu Saviyo,Sales1,contacted,hot,2025-10-10
Biju Jaggi,916274989148,dashkartik@gmail.com,Google Ads,Kochi,ERP System,73603,Nygil Binoy,Sales5,contacted,hot,2025-09-27
Hiran Kakar,916304912982,anahi31@swamy-venkataraman.net,LinkedIn,Hyderabad,Web Design,31007,Admin,Sales1,converted,hot,2025-08-15
Nehmat Madan,918208283728,shettymiraan@jani.info,Instagram,Bangalore,Digital Marketing,29080,Team Lead,Sales2,unavailable,cold,2025-08-26
Biju Butala,918030106617,hayerprerak@yahoo.com,Instagram,Mumbai,Digital Marketing,25957,Admin,Sales1,closed,warm,2025-09-02
Rasha Setty,917819256337,kanavdivan@gmail.com,Referral,Mumbai,Web Design,89259,Admin,Sales1,closed,cold,2025-08-11
Siya Dugar,917457293575,masteranvi@varkey.com,Facebook,Chennai,CRM,25931,Team Lead,Sales4,contacted,warm,2025-09-24
Kabir Banerjee,916788075126,yuvaanbhasin@dasgupta.com,Google Ads,Mumbai,CRM,10880,Appu Saviyo,Sales5,new,hot,2025-10-05
Aaina Saha,918800940984,lagan53@yahoo.com,Naukri,Kochi,Web Design,99771,Nygil Binoy,Sales2,closed,warm,2025-09-13
Oorja Roy,918067418686,wdugar@gmail.com,Instagram,Mumbai,Web Design,22579,Appu Saviyo,Sales1,closed,warm,2025-08-06
Misha Manda,919979364815,luthralakshit@deo.com,Referral,Bangalore,Digital Marketing,92303,Team Lead,Sales4,contacted,hot,2025-10-30
Tushar Dhar,917274350418,ithaman@dora.net,Instagram,Kochi,ERP System,97434,Team Lead,Sales1,converted,hot,2025-08-06
Nitara Ben,916215359682,farhan18@deshpande.org,Naukri,Mumbai,ERP System,70615,Nygil Binoy,Sales1,unavailable,hot,2025-08-26
Lagan Sankar,919656488400,ddass@gmail.com,Instagram,Kochi,ERP System,9907,Nygil Binoy,Sales4,new,cold,2025-10-06
Raghav Bains,917057486868,trisha24@shanker.net,Naukri,Delhi,Web Design,82183,Admin,Sales4,unavailable,cold,2025-10-13
Jhanvi Agrawal,918245334677,wagleprisha@mahajan.com,Google Ads,Bangalore,CRM,88782,Johnson Joseph,Sales2,converted,warm,2025-10-01
Adah Bhatt,916562117925,tejas05@sanghvi.com,LinkedIn,Hyderabad,Mobile App,60929,Johnson Joseph,Sales1,new,warm,2025-09-09
Miraya Shere,918667858669,ishaansura@wadhwa.com,Naukri,Kochi,Web Design,71468,Nygil Binoy,Sales5,converted,hot,2025-08-23
Vardaniya Jha,917498981529,indranil16@varughese.com,Facebook,Chennai,Mobile App,38353,Nygil Binoy,Sales4,unavailable,cold,2025-08-25
Stuvan Dua,917299301222,anaysahni@iyengar.com,Naukri,Hyderabad,ERP System,2025,Team Lead,Sales3,new,hot,2025-10-28
Trisha Dewan,917135872495,isane@yahoo.com,Facebook,Kochi,ERP System,21374,Johnson Joseph,Sales3,unavailable,hot,2025-08-08
Pranay Chakraborty,919082120871,bhagatkimaya@yahoo.com,Google Ads,Chennai,Mobile App,67244,Appu Saviyo,Sales3,new,hot,2025-09-08
Adira Raman,918724230947,kyogi@datta.biz,Referral,Bangalore,Web Design,1464,Johnson Joseph,Sales2,converted,hot,2025-08-06
Tejas Kale,919183562527,misha51@yogi.com,Referral,Delhi,Digital Marketing,74519,Admin,Sales1,new,cold,2025-10-09
Shaan Jaggi,919882343658,kartikkade@hotmail.com,Instagram,Delhi,Web Design,49393,Team Lead,Sales5,contacted,warm,2025-09-11
Mannat Mane,916547374338,amahal@yahoo.com,Facebook,Bangalore,Mobile App,6229,Johnson Joseph,Sales2,contacted,cold,2025-09-02
Adah Srivastava,916441495235,ckant@hotmail.com,Google Ads,Delhi,Digital Marketing,82351,Nygil Binoy,Sales2,contacted,hot,2025-08-26
Yashvi Yohannan,919785653776,dhardrishya@ravel.com,Referral,Kochi,CRM,97542,Johnson Joseph,Sales4,contacted,warm,2025-10-24
Pari Dubey,916683749521,hunararora@das.org,LinkedIn,Kochi,Digital Marketing,6075,Appu Saviyo,Sales2,contacted,warm,2025-10-27
Amani Johal,917501771491,zkota@borah.com,Google Ads,Chennai,CRM,4101,Nygil Binoy,Sales4,converted,warm,2025-10-31
Vanya Kala,919712367625,zainasarin@kata.com,Facebook,Bangalore,Mobile App,85080,Team Lead,Sales4,unavailable,warm,2025-11-03
Amani Bhavsar,916118543408,tanya79@hotmail.com,Facebook,Bangalore,CRM,77099,Johnson Joseph,Sales1,new,cold,2025-10-31
Ira Kapoor,917866437132,qkar@trivedi.com,Google Ads,Hyderabad,Mobile App,58199,Team Lead,Sales5,new,warm,2025-10-19
Mishti Dar,919863343401,tbarad@yahoo.com,Naukri,Chennai,Mobile App,6817,Appu Saviyo,Sales1,unavailable,cold,2025-08-28
Shamik Dutta,918950028965,indrajitdalia@saran-bose.com,LinkedIn,Hyderabad,CRM,48739,Appu Saviyo,Sales1,converted,cold,2025-08-12
Yuvraj  Gandhi,917348257414,nbalasubramanian@yahoo.com,LinkedIn,Kochi,Mobile App,67469,Johnson Joseph,Sales4,converted,warm,2025-09-12
Tarini Mani,918994487334,waggarwal@yahoo.com,Google Ads,Delhi,CRM,26144,Appu Saviyo,Sales4,contacted,cold,2025-10-18
Aaina Luthra,918444288473,rchoudhary@kibe-atwal.biz,Google Ads,Mumbai,ERP System,1053,Johnson Joseph,Sales3,contacted,warm,2025-09-07
Samaira Butala,919374808475,mishaloke@gmail.com,Naukri,Delhi,Mobile App,61946,Appu Saviyo,Sales4,contacted,cold,2025-11-02
Kiara Manda,918032319170,routaaryahi@verma.com,LinkedIn,Chennai,Web Design,38196,Team Lead,Sales5,converted,hot,2025-08-10
Vaibhav Gade,919515101988,vgade@dewan-shetty.biz,Instagram,Hyderabad,Mobile App,30444,Nygil Binoy,Sales2,new,hot,2025-08-30
Anaya Andra,917051590706,mamooty10@dasgupta.com,Referral,Delhi,Web Design,60692,Appu Saviyo,Sales5,contacted,cold,2025-10-05
Nakul Bhatnagar,918990818727,mandamadhav@yahoo.com,Referral,Mumbai,Digital Marketing,32979,Nygil Binoy,Sales1,new,warm,2025-10-12
Tiya Gour,916939915527,soodishaan@bhagat-mann.com,Instagram,Hyderabad,ERP System,61889,Admin,Sales5,contacted,hot,2025-09-05
Vivaan Sehgal,917960488639,rajagopalanprisha@dara.com,Instagram,Mumbai,ERP System,74259,Team Lead,Sales3,closed,cold,2025-10-27
Yashvi Mandal,919500426290,hazel65@kulkarni.com,LinkedIn,Delhi,Digital Marketing,72810,Appu Saviyo,Sales2,closed,warm,2025-08-07
Ayesha Bera,917113219231,myra72@yahoo.com,Instagram,Hyderabad,Mobile App,69327,Appu Saviyo,Sales2,converted,warm,2025-08-23
Mannat Swamy,916332788471,ukamdar@hotmail.com,LinkedIn,Bangalore,CRM,36614,Johnson Joseph,Sales3,unavailable,hot,2025-09-01
Nirvaan Thakur,916594312071,alisha37@ramaswamy.com,Instagram,Chennai,Digital Marketing,91957,Nygil Binoy,Sales2,new,warm,2025-08-08
Shaan Chand,917750625978,sumersur@yahoo.com,Google Ads,Delhi,Digital Marketing,55496,Admin,Sales2,closed,warm,2025-09-08
Kimaya Sarna,919886251649,kuruvillakanav@gmail.com,Naukri,Hyderabad,Web Design,76456,Appu Saviyo,Sales4,new,warm,2025-08-29
Ayesha Mall,917282531582,troy@kapur-sule.com,Referral,Mumbai,ERP System,98978,Team Lead,Sales5,contacted,warm,2025-08-15
Madhup Jain,916942408767,nitara95@malhotra-lanka.com,Google Ads,Mumbai,Digital Marketing,4804,Appu Saviyo,Sales3,closed,cold,2025-09-16
Sumer Sarna,916708861714,ryan43@gmail.com,Referral,Chennai,ERP System,71008,Admin,Sales4,unavailable,cold,2025-10-15
Saksham Bhasin,918847562279,madhavshankar@devi-sengupta.org,Facebook,Kochi,Digital Marketing,18786,Appu Saviyo,Sales2,new,warm,2025-10-18
Divyansh Thaman,917628238707,manikya52@amble-sathe.net,Google Ads,Chennai,Digital Marketing,43840,Johnson Joseph,Sales4,converted,warm,2025-08-18
Azad Bala,917083497965,navyavig@yahoo.com,Facebook,Mumbai,Web Design,99176,Team Lead,Sales1,converted,hot,2025-08-15
Kaira Dhar,918792347639,vkannan@gmail.com,Facebook,Hyderabad,Web Design,99858,Admin,Sales2,contacted,hot,2025-08-10
Anvi Bhandari,918668616333,ekorpal@rau.com,Instagram,Chennai,CRM,63070,Admin,Sales5,contacted,warm,2025-08-20
Dharmajan Dash,919004179184,mraman@chowdhury.biz,Google Ads,Bangalore,CRM,80415,Team Lead,Sales1,contacted,warm,2025-09-18
Rohan Vasa,916464280597,jiya90@hotmail.com,Naukri,Kochi,Mobile App,76470,Appu Saviyo,Sales4,contacted,hot,2025-10-16
Tarini Chawla,918543040948,nitara12@chadha.com,LinkedIn,Hyderabad,CRM,14356,Johnson Joseph,Sales5,new,cold,2025-08-21
Yuvraj  Kar,919361393222,arhaan34@hotmail.com,Facebook,Bangalore,ERP System,57148,Johnson Joseph,Sales1,unavailable,cold,2025-09-02
Devansh Sankar,917465576748,vedika93@bhandari-magar.com,Facebook,Mumbai,Digital Marketing,14833,Appu Saviyo,Sales3,closed,cold,2025-10-07
Priyansh Thaker,916657091982,balanivan@rajan-shere.org,Referral,Chennai,ERP System,86256,Johnson Joseph,Sales5,unavailable,warm,2025-11-03
Advika Bhatia,917996617659,rati64@hotmail.com,Referral,Hyderabad,ERP System,36179,Johnson Joseph,Sales2,new,warm,2025-09-27
Advika Baria,919786577118,ushah@dass.com,Referral,Chennai,Digital Marketing,75691,Team Lead,Sales4,converted,hot,2025-10-10
Tarini Samra,918123030247,singhtanya@gmail.com,Google Ads,Chennai,Digital Marketing,28802,Johnson Joseph,Sales3,converted,warm,2025-09-20
Ranbir Chana,919780945510,ebath@yahoo.com,Naukri,Hyderabad,Mobile App,73848,Admin,Sales5,contacted,hot,2025-09-14
Samarth Sampath,917036616336,shalvjha@kota.biz,LinkedIn,Mumbai,Digital Marketing,73768,Nygil Binoy,Sales4,closed,warm,2025-10-23
Amani Basu,919405620755,samarth16@hotmail.com,Facebook,Kochi,Mobile App,30045,Appu Saviyo,Sales2,converted,cold,2025-10-25
Nirvi Virk,918497762234,mbala@hotmail.com,Google Ads,Mumbai,ERP System,70588,Johnson Joseph,Sales4,unavailable,warm,2025-09-10
Mishti Kant,917511014697,priyanshmaharaj@dhawan.info,LinkedIn,Mumbai,Mobile App,41189,Johnson Joseph,Sales2,new,cold,2025-08-17
Mohanlal Ramanathan,916827143233,sahilmajumdar@majumdar.com,Google Ads,Kochi,ERP System,91461,Nygil Binoy,Sales2,contacted,cold,2025-08-27
Anahi Bhargava,918079617090,ssehgal@sastry.info,Google Ads,Hyderabad,ERP System,69765,Team Lead,Sales3,new,hot,2025-09-20
Amani Majumdar,917272368870,mchandran@shenoy.com,Instagram,Bangalore,CRM,40618,Admin,Sales5,contacted,warm,2025-09-01
Shlok Subramaniam,916195488441,dhaliwalsamaira@yahoo.com,Facebook,Delhi,Mobile App,92411,Nygil Binoy,Sales4,new,hot,2025-10-26
Indrajit Kapoor,918465587067,shamik88@yahoo.com,Google Ads,Mumbai,Digital Marketing,58733,Johnson Joseph,Sales2,new,warm,2025-09-19
Kanav Sarkar,919701071948,xdada@bains-dutt.info,Referral,Kochi,Web Design,53521,Appu Saviyo,Sales1,unavailable,cold,2025-10-13
Veer Saini,918948284698,ibadami@rajagopal.com,Facebook,Chennai,CRM,74772,Johnson Joseph,Sales1,contacted,hot,2025-10-29
Divyansh Lall,918396905421,senhridaan@yahoo.com,Referral,Delhi,ERP System,82057,Nygil Binoy,Sales5,closed,warm,2025-10-29
Dhanuk Keer,919901996605,misha61@yahoo.com,Referral,Bangalore,ERP System,57207,Johnson Joseph,Sales5,unavailable,hot,2025-10-27
Samar Rattan,918618344818,ranganathandarshit@gmail.com,LinkedIn,Kochi,CRM,82987,Nygil Binoy,Sales3,new,hot,2025-10-06
Manikya Shenoy,917030213097,wbawa@sarraf.info,Instagram,Delhi,Web Design,21517,Admin,Sales4,closed,cold,2025-08-22
Aniruddh Bajaj,918550399650,dintaimur@yahoo.com,Referral,Bangalore,Web Design,31340,Johnson Joseph,Sales3,closed,hot,2025-09-16
Nirvaan Lanka,918952295757,jayanchahal@gmail.com,Instagram,Bangalore,ERP System,87662,Nygil Binoy,Sales4,new,cold,2025-10-04
Miraya Sanghvi,916965549222,jmanne@kashyap.com,LinkedIn,Chennai,Mobile App,19643,Admin,Sales1,contacted,warm,2025-09-19
Nitya Agrawal,918555694670,parinaaz82@gmail.com,LinkedIn,Delhi,Mobile App,58560,Admin,Sales4,converted,cold,2025-09-17
Khushi Doctor,917728760924,amani43@yahoo.com,Google Ads,Delhi,ERP System,65722,Appu Saviyo,Sales1,unavailable,hot,2025-10-27
Emir Dani,919820042236,kashvi44@gmail.com,Referral,Hyderabad,Mobile App,80129,Johnson Joseph,Sales1,new,hot,2025-10-25
Raghav Agrawal,918896089430,sthaman@raman.com,Naukri,Delhi,Web Design,89117,Johnson Joseph,Sales5,new,hot,2025-10-06
Miraya Dass,918020785643,zachariamishti@bahri.info,Naukri,Hyderabad,Digital Marketing,37458,Nygil Binoy,Sales5,closed,cold,2025-08-09
Sana Bhatti,919497155420,shaan62@bhatti.com,Referral,Kochi,Digital Marketing,46607,Appu Saviyo,Sales3,converted,cold,2025-09-26
Ivan Dave,916449253056,siya51@yahoo.com,Instagram,Bangalore,Digital Marketing,91921,Appu Saviyo,Sales3,closed,cold,2025-08-13
Tanya Chowdhury,916157612991,divij60@yahoo.com,Referral,Kochi,Mobile App,34082,Johnson Joseph,Sales1,closed,cold,2025-09-27
Amani Gour,919543035341,otata@yahoo.com,Facebook,Hyderabad,ERP System,61552,Appu Saviyo,Sales1,contacted,cold,2025-08-16
Anaya Arora,917553830525,neelofarbalay@hotmail.com,Naukri,Mumbai,Digital Marketing,7764,Nygil Binoy,Sales3,unavailable,hot,2025-10-24
Rati Dora,919984324182,boaseazad@gmail.com,Google Ads,Mumbai,Digital Marketing,16915,Admin,Sales5,contacted,cold,2025-09-04
Farhan Bava,916680229045,vidurkaran@sampath-sharaf.net,Google Ads,Delhi,Web Design,73384,Appu Saviyo,Sales1,contacted,hot,2025-09-15
Zeeshan Sagar,917981903597,arandhawa@babu-sant.com,Facebook,Hyderabad,CRM,66323,Johnson Joseph,Sales5,converted,warm,2025-08-27
Ahana  Dalal,919585112032,sankartushar@hotmail.com,Referral,Mumbai,CRM,60871,Team Lead,Sales2,closed,hot,2025-11-01
Biju Issac,919959393557,gatikvala@yahoo.com,Naukri,Delhi,CRM,10150,Johnson Joseph,Sales4,converted,cold,2025-08-14
Nayantara Reddy,917147497835,srivastavashamik@bhatnagar.com,Facebook,Bangalore,Mobile App,77931,Team Lead,Sales4,contacted,warm,2025-08-12
Khushi Chokshi,918313185971,urvi29@devi.com,Referral,Bangalore,Mobile App,73340,Team Lead,Sales4,closed,warm,2025-09-27
Yasmin Chahal,919734910807,bhattiabram@subramanian-subramaniam.com,Instagram,Hyderabad,CRM,75946,Appu Saviyo,Sales2,closed,hot,2025-10-02
Advik Chahal,917366556920,bhatnagarseher@yahoo.com,LinkedIn,Mumbai,Digital Marketing,51604,Nygil Binoy,Sales4,new,hot,2025-09-26
Shanaya Balay,918157324056,xsood@hotmail.com,Naukri,Bangalore,Web Design,58711,Admin,Sales5,closed,hot,2025-10-02
Alisha Krishnamurthy,919102872611,sethvardaniya@lad.com,Instagram,Mumbai,CRM,10807,Appu Saviyo,Sales3,converted,cold,2025-08-11
Yakshit Kala,918975143612,csawhney@yogi.com,Referral,Hyderabad,Web Design,44065,Team Lead,Sales4,converted,cold,2025-10-04
Chirag Bhatnagar,919086867825,vaibhav98@yahoo.com,Referral,Delhi,Web Design,81931,Admin,Sales2,converted,hot,2025-09-19
Divyansh Sundaram,919207337120,adahkara@jhaveri.info,Facebook,Mumbai,Web Design,84066,Admin,Sales4,contacted,cold,2025-09-13
Samiha Batta,917286196999,qdugar@yahoo.com,Facebook,Kochi,Mobile App,8355,Johnson Joseph,Sales3,converted,warm,2025-09-11
Piya Khalsa,916625217504,thakurdharmajan@kalita.com,Instagram,Delhi,Digital Marketing,75177,Nygil Binoy,Sales2,contacted,hot,2025-10-23
Ivana Balan,918617747281,jhasumer@hotmail.com,Referral,Delhi,CRM,66230,Team Lead,Sales2,contacted,warm,2025-10-17
Saira Bal,918739779525,sumer19@hotmail.com,Google Ads,Mumbai,Mobile App,88404,Admin,Sales4,converted,cold,2025-08-26
Nirvi Khosla,918347621138,gillivana@bhandari-singh.com,Instagram,Kochi,Digital Marketing,46293,Team Lead,Sales3,closed,cold,2025-09-30
Zara Kala,917074163698,aniruddh24@singh.com,Referral,Bangalore,CRM,51422,Appu Saviyo,Sales1,contacted,warm,2025-08-06
Hridaan Mandal,918456389272,bobalseher@hotmail.com,Google Ads,Delhi,Mobile App,92655,Johnson Joseph,Sales1,closed,warm,2025-08-08
Siya Lanka,916034780500,dkadakia@brar-goyal.com,Naukri,Hyderabad,Web Design,80482,Appu Saviyo,Sales3,contacted,cold,2025-10-15
Urvi Mander,919444271529,brahmbhattindranil@bakshi.com,Google Ads,Chennai,CRM,82381,Johnson Joseph,Sales2,new,cold,2025-09-18
Aradhya Raman,918776011793,ndeshpande@hotmail.com,Facebook,Bangalore,Digital Marketing,5373,Team Lead,Sales3,contacted,hot,2025-08-17
Adah Bhakta,919906821722,qlall@yahoo.com,Google Ads,Bangalore,Digital Marketing,24021,Nygil Binoy,Sales2,unavailable,warm,2025-08-10
Vivaan Ram,918279993598,chaudryromil@sinha.com,Naukri,Bangalore,CRM,34681,Appu Saviyo,Sales3,converted,hot,2025-09-03
Fateh Aggarwal,918011467975,ichahal@yahoo.com,Facebook,Chennai,CRM,89647,Appu Saviyo,Sales5,converted,hot,2025-09-26
Damini Mammen,919395953188,issacseher@gmail.com,Referral,Kochi,Mobile App,71329,Admin,Sales4,converted,cold,2025-09-17
Amira Barad,919216980347,zmangat@hotmail.com,LinkedIn,Bangalore,ERP System,50941,Johnson Joseph,Sales1,contacted,warm,2025-10-07
Riaan Bhandari,916107480046,gabajayan@hotmail.com,Naukri,Delhi,Mobile App,80964,Nygil Binoy,Sales1,closed,cold,2025-09-19
Dhruv Kamdar,917297896903,adiraraja@lala-baral.biz,LinkedIn,Mumbai,Web Design,19320,Admin,Sales1,converted,warm,2025-10-29
Shanaya Gara,916498733671,vanya21@ravel.net,Facebook,Chennai,ERP System,18781,Appu Saviyo,Sales4,converted,cold,2025-08-24
Stuvan Seth,919191762519,ehsaanbora@chaudhary-chadha.org,LinkedIn,Delhi,Digital Marketing,77983,Nygil Binoy,Sales4,new,warm,2025-08-20
Jayesh Som,918644206129,kshroff@hotmail.com,Referral,Bangalore,Web Design,91476,Johnson Joseph,Sales2,closed,warm,2025-09-18
Mishti Dugar,917014096062,ebandi@raval-doshi.com,Google Ads,Kochi,Mobile App,72364,Johnson Joseph,Sales1,closed,warm,2025-10-02
Sumer Kulkarni,916815221547,anahi70@gour.com,Facebook,Mumbai,Web Design,87870,Nygil Binoy,Sales5,new,hot,2025-10-07
Mannat Rajan,919379257051,jmannan@hotmail.com,Google Ads,Chennai,CRM,75000,Nygil Binoy,Sales1,unavailable,hot,2025-10-31
Alisha Tailor,918518496186,lavanya78@balasubramanian.com,Instagram,Chennai,Mobile App,20340,Team Lead,Sales1,converted,hot,2025-10-23
Riya Basak,916558311957,dasguptarhea@kanda-lala.net,Naukri,Bangalore,CRM,15408,Admin,Sales2,new,warm,2025-10-04
Tejas Grewal,919392958303,xjayaraman@yahoo.com,Instagram,Delhi,Mobile App,3068,Nygil Binoy,Sales3,new,hot,2025-10-10
Vritika Raval,919185654811,galadivit@hotmail.com,Referral,Delhi,Web Design,98735,Admin,Sales4,closed,warm,2025-10-10
Raunak Date,918204340231,dhanush92@dubey-sagar.biz,Naukri,Kochi,Digital Marketing,67039,Nygil Binoy,Sales5,new,cold,2025-08-18
Sahil Mammen,919363934309,gokul81@hotmail.com,LinkedIn,Delhi,Mobile App,61036,Admin,Sales1,closed,warm,2025-10-10
Diya Golla,917830831254,sahil23@sinha-kibe.com,LinkedIn,Kochi,Digital Marketing,94375,Appu Saviyo,Sales1,new,warm,2025-08-27
Indrans Barad,918612617557,kulkarnitrisha@hotmail.com,Instagram,Kochi,CRM,37046,Team Lead,Sales5,unavailable,cold,2025-10-26
Nitara Ganguly,917396660850,kbose@thakur.org,Referral,Delhi,ERP System,39652,Appu Saviyo,Sales5,unavailable,warm,2025-10-23
Saira Kanda,916425968237,rgopal@dani.com,LinkedIn,Kochi,ERP System,95481,Nygil Binoy,Sales4,closed,hot,2025-10-18
Mehul Loke,917777315761,zoya73@sane-mangal.info,Google Ads,Mumbai,Digital Marketing,55524,Admin,Sales3,closed,warm,2025-09-19
Vanya Halder,918856616537,krishsuresh@hotmail.com,Google Ads,Bangalore,CRM,91023,Appu Saviyo,Sales1,new,hot,2025-08-19
Baiju Rege,916400420225,ishita18@gmail.com,Referral,Kochi,Mobile App,18054,Team Lead,Sales1,unavailable,cold,2025-09-02
Tarini Buch,918412411754,gzachariah@gmail.com,Google Ads,Hyderabad,Web Design,54845,Johnson Joseph,Sales4,new,warm,2025-10-25
Divij Choudhry,918578741716,anay60@yahoo.com,Google Ads,Bangalore,Web Design,76748,Team Lead,Sales2,contacted,cold,2025-09-23
Miraan Hans,918070987704,mamooty05@tripathi.com,Instagram,Kochi,Mobile App,73910,Johnson Joseph,Sales1,converted,cold,2025-10-21
Hiran Bahl,916971345904,isarin@hotmail.com,Referral,Delhi,ERP System,81422,Team Lead,Sales1,unavailable,cold,2025-09-20
Mannat Agate,919562506969,davemadhav@mahal.org,LinkedIn,Bangalore,Web Design,24647,Johnson Joseph,Sales3,converted,warm,2025-09-26
Faiyaz Soni,916026224160,romilbhat@gmail.com,Instagram,Chennai,ERP System,87159,Appu Saviyo,Sales1,contacted,cold,2025-08-29
Navya Sundaram,918719453060,bhaktacharvi@hotmail.com,Facebook,Kochi,ERP System,29197,Appu Saviyo,Sales4,closed,warm,2025-09-27
Mohanlal Kurian,916676067682,riaankala@rana.com,Google Ads,Bangalore,Mobile App,75395,Team Lead,Sales1,new,hot,2025-09-30
Kabir Salvi,916676070354,darshit88@srivastava.com,Naukri,Kochi,Web Design,36665,Appu Saviyo,Sales4,closed,cold,2025-09-12
Azad Ravi,917898565319,ojas05@gmail.com,Referral,Bangalore,CRM,99951,Team Lead,Sales1,converted,warm,2025-09-08
Sana Saha,916476267947,himmat05@gara.com,Google Ads,Hyderabad,ERP System,64783,Team Lead,Sales3,new,hot,2025-10-25
Rasha Khatri,917697643337,chiragsehgal@badami-din.com,Naukri,Kochi,Web Design,27794,Johnson Joseph,Sales2,contacted,warm,2025-08-10
Arnav Dugar,917243165953,itandon@yahoo.com,Google Ads,Kochi,Web Design,66193,Appu Saviyo,Sales2,contacted,warm,2025-08-30
Suhana Sabharwal,918287423767,taimur05@bhatia-sura.com,LinkedIn,Chennai,ERP System,74233,Johnson Joseph,Sales1,closed,cold,2025-09-17
Shanaya Kannan,916181686832,kabir77@yahoo.com,Referral,Kochi,Digital Marketing,11205,Johnson Joseph,Sales5,closed,cold,2025-11-03
Zaina Barman,917736983049,kalelavanya@gmail.com,LinkedIn,Hyderabad,Digital Marketing,38947,Admin,Sales4,new,warm,2025-09-27
Samarth Behl,916738189691,nitara44@ramachandran-sekhon.biz,Naukri,Mumbai,Mobile App,12551,Appu Saviyo,Sales1,contacted,warm,2025-08-22
Stuvan Kapoor,918529182928,mannat64@sule.biz,Referral,Delhi,Web Design,52873,Johnson Joseph,Sales3,contacted,warm,2025-09-10
Aniruddh Bora,919346285771,bhatnagardarshit@gmail.com,Instagram,Kochi,ERP System,83998,Admin,Sales5,unavailable,hot,2025-10-20
Taran Handa,919890908506,parinaazkar@grewal-kapadia.com,Google Ads,Bangalore,CRM,31968,Admin,Sales2,converted,hot,2025-09-30
Eva Goswami,916745172634,nehmat43@gmail.com,Naukri,Chennai,Web Design,24218,Appu Saviyo,Sales4,unavailable,cold,2025-08-08
